Name;File Extension;Título;Artistas participantes;Álbum;Tamanho;Artista do Álbum
Scorpions - Still Loving You (lyrics).mp3;.mp3;Scorpions - Still Loving You (lyrics);;;5.686 KB;
Scorpions - Wind Of Change.mp3;.mp3;Wind of Change;Scorpions;;8.869 KB;
Sebastian Ingrosso & Alesso ft. Ryan Tedder -- Calling (Lose My Mind) [Radio Edit].mp3;.mp3;Sebastian Ingrosso & Alesso ft. Ryan Tedder -- Calling (Lose My Mind) [Radio Edit];;;3.244 KB;
Shatter Me Featuring Lzzy Hale - Lindsey Stirling.mp3;.mp3;;;;6.313 KB;
She Rocks! - The Arsenal Project.mp3;.mp3;She Rocks!;The Arsenal Project;Soundcloud;13.611 KB;The Arsenal Project
Silentó - Watch Me (Whip Nae Nae) (Official).mp3;.mp3;Silentó - Watch Me (Whip Nae Nae) (Official);;;6.325 KB;
Skank - Ainda Gosto Dela.mp3;.mp3;Ainda gosto dela;Skank;;9.905 KB;
Skank - Sutilmente.mp3;.mp3;Sutilmente;Skank;;7.640 KB;
Skillet - Awake and Alive.mp3;.mp3;Skillet - Awake and Alive;;;3.195 KB;
Skillet - Comatose (Lyrics).mp3;.mp3;Comatose;Skillet;;7.192 KB;
Skrillex & The Doors - Breakn  A Sweat (Zedd Remix).mp3;.mp3;Skrillex & The Doors - Breakn  A Sweat (Zedd Remix);;;5.173 KB;
SKRILLEX - Bangarang feat. Sirah [Official Music Video].mp3;.mp3;SKRILLEX - Bangarang feat. Sirah [Official Music Video];;;3.455 KB;
Skrillex - Cinema.mp3;.mp3;Cinema;Skrillex;;11.918 KB;
Skrillex - Reptile.mp3;.mp3;Reptile;Skrillex;Single;4.256 KB;
Skrillex - Scary Monsters And Nice Sprites.mp3;.mp3;Scary Monsters And Nice Sprites;Skrillex;Scary Monsters And Nice Sprites;3.809 KB;Skrillex
Skrillex Ft. Krewella - Breathe.mp3;.mp3;Skrillex Ft. Krewella - Breathe;;;7.663 KB;
Skrillex_Bangarang.mp3;.mp3;Bangarang;Skrillex;Bangarang;6.233 KB;
Song of the Caged Bird - Lindsey Stirling (Original Song).mp3;.mp3;Song of the Caged Bird;Lindsey Stirling;;8.035 KB;
Sous le ciel de paris  ZAZ & Pablo Alborán [Letra].m4a;.m4a;Sous le ciel de paris  ZAZ & Pablo Alborán [Letra];;;3.141 KB;
Stairway to Heaven.mp3;.mp3;;;;14.906 KB;
Stephen Swartz -- Bullet Train (Feat. Joni Fatora).m4a;.m4a;Stephen Swartz -- Bullet Train (Feat. Joni Fatora);;;3.820 KB;
Steve Jobs vs Bill Gates.  Epic Rap Battles of ....mp3;.mp3;Steve Jobs vs Bill Gates.  Epic Rap Battles of ...;;;2.617 KB;
Super Mario Theme [DUBSTEP REMIX].mp3;.mp3;Super Mario Theme DUBSTEP REMI;;;3.751 KB;
Swedish House Mafia - Save The World (Official Instrumental) + Lyrics.mp3;.mp3;Swedish House Mafia - Save The World (Official Instrumental) + Lyrics;;;6.660 KB;
Taylor Swift - I Knew You Were Trouble (Spaarkey Dubstep Remix).mp3;.mp3;Taylor Swift - I Knew You Were Trouble (Spaarkey Dubstep Remix);;;4.332 KB;
the cataracs ft dev - top of the world_digitald.mp3;.mp3;top of the world;the cataracs ft dev;DigitalDripped.com;3.523 KB;
The Colourist - We Won t Go Home (The Jane Doze Remix).mp3;.mp3;We Won't Go Home;The Colourist;;7.712 KB;
The Final Countdown (1986) - Violin Instrumental.m4a;.m4a;The Final Countdown (1986) - Violin Instrumental;;;3.588 KB;
The Final Countdown (1986) - Violin Instrumental.mp3;.mp3;;;;0 KB;
The Prophet - One Moment (Official videoclip).mp3;.mp3;The Prophet - One Moment (Official videoclip);;;6.647 KB;
The Super Mario Song.mp3;.mp3;The Super Mario Song;;;1.458 KB;
The Vision & Neilio - Alive (Official Sunrise Festival 2015 Hardstyle Anthem).m4a;.m4a;The Vision & Neilio - Alive (Official Sunrise Festival 2015 Hardstyle Anthem);;;3.617 KB;
Titanium - David Guetta 8-BIT VERSION!.mp3;.mp3;Titanium - David Guetta 8-BIT VERSION!;;;3.442 KB;
Tom Boxer & Morena feat. J Warner - Deep In Love.mp3;.mp3;;;;12.365 KB;
Tristam - Shine [Drumstep].mp3;.mp3;Tristam - Shine [Drumstep];;;4.050 KB;
Turn This Club Around (Extended Mix) - www.musicasparabaixar.org.mp3;.mp3;Turn This Club Around (Extended Mix);Va - www.musicasparabaixar.org;Anual Mix 2012 - www.musicasparabaixar.org;12.624 KB;www.musicasparabaixar.org
UEFA Euro 2012 Goal Song - Seven Nation Army (Remix).mp3;.mp3;UEFA Euro 2012 Goal Song - Seven Nation Army (Remix);;;6.046 KB;
Um Joystick, Um Violão - 10 - É Preciso Saber Viver.mp3;.mp3;Um Joystick, Um Violão - 10 - É Preciso Saber Viver;;;3.025 KB;
Um Joystick, Um Violão 09 - Geração Coca-Cola.mp3;.mp3;Um Joystick, Um Violão 09 - Geração Coca-Cola;;;2.878 KB;
Verdade - Zeca Pagodinho.mp3;.mp3;Verdade;Zeca Pagodinho;;7.966 KB;
Vicetone vs. Popeska - The New Kings ft. Luciana.mp3;.mp3;The New Kings ft. Luciana;Vicetone vs. Popeska;;6.968 KB;
Vivaldi - Spring.m4a;.m4a;Vivaldi - Spring;;;9.287 KB;
Você Não Me Ensinou A Te Esquecer - Bruno e Marrone.m4a;.m4a;Você Não Me Ensinou A Te Esquecer - Bruno e Marrone;;;3.866 KB;
Wake Me Up   Avicci.mp3;.mp3;Wake Me Up;Avicci;;8.172 KB;
well-be-coming-back-feat.mp3;.mp3;We'll Be Coming Back feat. Example;Calvin Harris;Chubbybeavers.com;4.246 KB;
What Child is This - Lindsey Stirling.mp3;.mp3;What Child is This - Lindsey Stirling;;;10.094 KB;
Whitney Houston - I Will Always Love You - Lyrics.m4a;.m4a;Whitney Houston - I Will Always Love You - Lyrics;;;4.387 KB;
Xote dos Milagres - Falamansa.m4a;.m4a;Xote dos Milagres - Falamansa;;;4.151 KB;
Youngblood Hawke - We Come Running (Vicetone Remix).mp3;.mp3;We Come Running [Vicetone Remix];"The West Los Angeles Children's Choir; Youngblood Hawke";We Come Running: Remixes;9.385 KB;Youngblood Hawke
ZAZ - 'Si jamais j'oublie' [Official Video].m4a;.m4a;'Si jamais j'oublie' [Official Video];ZAZ;ZAZ;3.303 KB;
Zaz - Je veux.m4a;.m4a;Je veux;Zaz;Zaz;3.470 KB;
Zeca Pagodinho - Deixa A Vida Me Levar.mp3;.mp3;Deixa A Vida Me Levar;Zeca Pagodinho;;6.802 KB;
Zedd - Clarity (feat. Foxes).mp3;.mp3;Zedd - Clarity (feat. Foxes);;;4.249 KB;
Zedd - Find You (Atmozfears Remix) [HD].m4a;.m4a;Zedd - Find You (Atmozfears Remix) [HD];;;2.947 KB;
Zedd - Spectrum (Lyric Video) ft. Matthew Koma.mp3;.mp3;Zedd - Spectrum ft. Matthew Koma;;;3.804 KB;
Zedd - Stay The Night ft. Hayley Williams.mp3;.mp3;;;;5.982 KB;
ZHU - Faded (Dzeko & Torres Remix).mp3;.mp3;Faded;Zhu;;8.572 KB;
Zoraide.mp3;.mp3;Zoraide;Ultraje a Rigor;Acústico MTV;5.385 KB;Ultraje a Rigor
Катюша (Katyusha).m4a;.m4a;Катюша (Katyusha);;;2.843 KB;
